Time,Minimum Signal,Power Usage,StationID,Users in Range,numberOfUsers,signalStrength,State
0,-40,290,1,49,39,1,1
0,-40,290,2,1,1,-71.5300677461712,1
0,-40,290,3,1,1,-76.29797718944374,1
0,-40,290,4,2,2,-70.43030486889587,1
0,-40,290,5,2,2,-65.45377400964338,1
0,-40,290,6,2,2,-77.56858513883523,1
0,-40,290,7,1,0,-67.6543686245905,1
0,-40,290,8,1,1,-71.36770724672115,1
0,-40,290,9,1,1,-71.09194058861236,1
0,-40,290,10,1,1,-75.57408463882064,1
0,-40,290,11,0,0,-64.26922009812307,1
Time,Minimum Signal,Power Usage,StationID,Users in Range,numberOfUsers,signalStrength,State
0,-40,140,1,10,9,1,1
0,-40,140,2,0,0,-74.6283004040528,1
0,-40,140,3,0,0,-72.17438048011499,1
0,-40,140,4,0,0,-75.24519469710089,1
0,-40,140,5,1,1,-76.95368952731226,1
10,-40,40,1,10,10,1,1
10,-40,40,2,0,0,-74.6283004040528,0
10,-40,40,3,0,0,-72.17438048011499,0
10,-40,40,4,0,0,-75.24519469710089,0
10,-40,40,5,1,0,-76.95368952731226,0
20,-40,40,1,10,10,1,1
20,-40,40,2,0,0,-74.6283004040528,0
20,-40,40,3,0,0,-72.17438048011499,0
20,-40,40,4,0,0,-75.24519469710089,0
20,-40,40,5,1,0,-76.95368952731226,0
30,-40,40,1,10,10,1,1
30,-40,40,2,0,0,-74.6283004040528,0
30,-40,40,3,1,0,-72.17438048011499,0
30,-40,40,4,0,0,-75.24519469710089,0
30,-40,40,5,1,0,-76.95368952731226,0
Time,Minimum Signal,Power Usage,StationID,Users in Range,numberOfUsers,signalStrength,State
0,-40,140,1,9,7,1,1
0,-40,140,2,1,1,-71.61907405001607,1
0,-40,140,3,0,0,-74.66240097824365,1
0,-40,140,4,0,0,-65.59820305001503,1
0,-40,140,5,1,1,-76.20427425075124,1
10,-40,40,1,9,9,1,1
10,-40,40,2,1,0,-71.61907405001607,0
10,-40,40,3,0,0,-74.66240097824365,0
10,-40,40,4,0,0,-65.59820305001503,0
10,-40,40,5,1,0,-76.20427425075124,0
20,-40,40,1,9,9,1,1
20,-40,40,2,0,0,-71.61907405001607,0
20,-40,40,3,0,0,-74.66240097824365,0
20,-40,40,4,0,0,-65.59820305001503,0
20,-40,40,5,1,0,-76.20427425075124,0
30,-40,40,1,9,9,1,1
30,-40,40,2,0,0,-71.61907405001607,0
30,-40,40,3,0,0,-74.66240097824365,0
30,-40,40,4,0,0,-65.59820305001503,0
30,-40,40,5,1,0,-76.20427425075124,0
Time,Minimum Signal,Power Usage,StationID,Users in Range,numberOfUsers,signalStrength,State
0,-40,165,1,23,23,1,1
0,-40,165,2,0,0,-54.34165286755321,1
0,-40,165,3,0,0,-70.32075166884061,1
0,-40,165,4,0,0,-76.48942723193295,1
0,-40,165,5,0,0,-68.77449670923005,1
0,-40,165,6,0,0,-75.19510649037721,1
10,-40,40,1,23,23,1,1
10,-40,40,2,0,0,-54.34165286755321,0
10,-40,40,3,0,0,-70.32075166884061,0
10,-40,40,4,0,0,-76.48942723193295,0
10,-40,40,5,0,0,-68.77449670923005,0
10,-40,40,6,0,0,-75.19510649037721,0
20,-40,40,1,23,23,1,1
20,-40,40,2,0,0,-54.34165286755321,0
20,-40,40,3,0,0,-70.32075166884061,0
20,-40,40,4,0,0,-76.48942723193295,0
20,-40,40,5,0,0,-68.77449670923005,0
20,-40,40,6,0,0,-75.19510649037721,0
Time,Minimum Signal,Power Usage,StationID,Users in Range,numberOfUsers,signalStrength,State
0,-40,165,1,49,43,1,1
0,-40,165,2,3,3,-74.93283073526203,1
0,-40,165,3,0,0,-72.26902544667233,1
0,-40,165,4,2,2,-74.2861805569122,1
0,-40,165,5,1,1,-72.06446480358161,1
0,-40,165,6,1,0,-60.57863984726726,1
10,-40,90,1,49,45,1,1
10,-40,90,2,2,2,-74.93283073526203,1
10,-40,90,3,1,0,-72.26902544667233,0
10,-40,90,4,2,2,-74.2861805569122,1
10,-40,90,5,1,0,-72.06446480358161,0
10,-40,90,6,1,0,-60.57863984726726,0
20,-40,90,1,49,44,1,1
20,-40,90,2,3,3,-74.93283073526203,1
20,-40,90,3,1,0,-72.26902544667233,0
20,-40,90,4,2,2,-74.2861805569122,1
20,-40,90,5,1,0,-72.06446480358161,0
20,-40,90,6,1,0,-60.57863984726726,0
30,-40,90,1,49,43,1,1
30,-40,90,2,4,4,-74.93283073526203,1
30,-40,90,3,1,0,-72.26902544667233,0
30,-40,90,4,2,2,-74.2861805569122,1
30,-40,90,5,2,0,-72.06446480358161,0
30,-40,90,6,1,0,-60.57863984726726,0
